SalePrice,LnSalePrice,Age,GrLivArea,BaseLivArea,Location,BedroomAbvGr,OverallCond,OverallQual,LotFrontage,LotArea,TwoStory_dum,FlatContour_dum,FlatRoof_dum,GarageArea,Garage_dum,CentralAirNum,LowQualFinSF,Fireplaces,KitchenQual_Ex,Zoning_2,Zoning_3,Zoning_4,YrSold_2007,YrSold_2008,YrSold_2009,YrSold_2010
189900.0,12.154252896800378,13.0,1629.0,791.0,2,3.0,5.0,5.0,74.0,13830.0,1,1,0,482.0,1,1,0.0,1.0,0,0,1,0,0,0,0,1
210000.0,12.254862809699606,32.0,2073.0,953.0,3,3.0,6.0,6.0,85.0,13175.0,0,1,0,500.0,1,1,0.0,2.0,0,0,1,0,0,0,0,1
190000.0,12.154779351142624,33.0,1844.0,705.0,3,3.0,6.0,6.0,105.0,11751.0,0,1,0,546.0,1,1,0.0,1.0,0,0,1,0,0,0,0,1
254900.0,12.448626590364206,6.0,1947.0,222.0,4,3.0,5.0,7.0,100.0,12552.0,1,1,0,678.0,1,1,0.0,1.0,0,0,0,1,0,0,0,1
189000.0,12.14950229404178,18.0,1845.0,0.0,1,3.0,5.0,6.0,70.0,11218.0,1,1,0,462.0,1,1,0.0,1.0,0,0,1,0,0,0,0,1
171000.0,12.049418835484797,30.0,1564.0,0.0,1,3.0,6.0,6.0,70.0,8400.0,1,1,0,476.0,1,1,0.0,1.0,0,0,1,0,0,0,0,1
138500.0,11.83862560460953,45.0,894.0,670.0,1,3.0,8.0,5.0,65.0,8450.0,0,1,0,336.0,1,1,0.0,1.0,0,0,1,0,0,0,0,1
196500.0,12.188417710291453,22.0,1714.0,394.0,3,3.0,5.0,7.0,80.0,10421.0,1,1,0,496.0,1,1,0.0,1.0,0,0,1,0,0,0,0,1
197600.0,12.194000064295905,58.0,2461.0,670.0,2,3.0,7.0,5.0,68.0,9724.0,1,1,0,400.0,1,1,0.0,2.0,0,0,1,0,0,0,0,1
159500.0,11.979799201207037,51.0,1580.0,734.0,2,3.0,5.0,6.0,80.0,10032.0,0,1,0,440.0,1,1,0.0,2.0,0,0,1,0,0,0,0,1
138400.0,11.837903322165706,80.0,1536.0,448.0,2,4.0,5.0,5.0,52.0,6240.0,1,1,0,480.0,1,1,0.0,1.0,0,0,0,0,0,0,0,1
149500.0,11.915051671812877,95.0,1962.0,0.0,2,4.0,5.0,4.0,57.0,8094.0,1,1,0,572.0,1,1,0.0,1.0,0,0,0,0,0,0,0,1
140000.0,11.84939770159144,110.0,1812.0,0.0,2,4.0,9.0,5.0,76.0,7630.0,1,1,0,672.0,1,1,0.0,1.0,0,0,0,0,0,0,0,1
125000.0,11.736069016284437,43.0,912.0,842.0,1,3.0,5.0,5.0,70.0,8521.0,0,1,0,336.0,1,1,0.0,1.0,0,0,1,0,0,0,0,1
154000.0,11.944707881395766,42.0,1060.0,856.0,1,3.0,8.0,5.0,74.7688,8246.0,0,1,0,270.0,1,1,0.0,1.0,0,0,1,0,0,0,0,1
